Nº Aquisição Horário     Data        Canal 1 [°C] 
00001        7:00:01 AM  5/19/2015   24.6         
00002        7:01:01 AM  5/19/2015   24.5         
00003        7:02:01 AM  5/19/2015   24.5         
00004        7:03:01 AM  5/19/2015   24.5         
00005        7:04:01 AM  5/19/2015   24.5         
00006        7:05:01 AM  5/19/2015   24.5         
00007        7:06:01 AM  5/19/2015   24.5         
00008        7:07:01 AM  5/19/2015   24.5         
00009        7:08:01 AM  5/19/2015   24.5         
00010        7:09:01 AM  5/19/2015   24.5         
00011        7:10:01 AM  5/19/2015   24.5         
00012        7:11:01 AM  5/19/2015   24.5         
00013        7:12:01 AM  5/19/2015   24.5         
00014        7:13:01 AM  5/19/2015   24.5         
00015        7:14:01 AM  5/19/2015   24.5         
00016        7:15:01 AM  5/19/2015   24.5         
00017        7:16:01 AM  5/19/2015   24.5         
00018        7:17:01 AM  5/19/2015   24.5         
00019        7:18:01 AM  5/19/2015   24.5         
00020        7:19:01 AM  5/19/2015   24.5         
00021        7:20:01 AM  5/19/2015   24.5         
00022        7:21:01 AM  5/19/2015   24.5         
00023        7:22:01 AM  5/19/2015   24.5         
00024        7:23:01 AM  5/19/2015   24.5         
00025        7:24:01 AM  5/19/2015   24.5         
00026        7:25:01 AM  5/19/2015   24.5         
00027        7:26:01 AM  5/19/2015   24.5         
00028        7:27:01 AM  5/19/2015   24.5         
00029        7:28:01 AM  5/19/2015   24.5         
00030        7:29:01 AM  5/19/2015   24.5         
00031        7:30:01 AM  5/19/2015   24.5         
00032        7:31:01 AM  5/19/2015   24.5         
00033        7:32:01 AM  5/19/2015   24.5         
00034        7:33:01 AM  5/19/2015   24.5         
00035        7:34:01 AM  5/19/2015   24.5         
00036        7:35:01 AM  5/19/2015   24.5         
00037        7:36:01 AM  5/19/2015   24.5         
00038        7:37:01 AM  5/19/2015   24.4         
00039        7:38:01 AM  5/19/2015   24.4         
00040        7:39:01 AM  5/19/2015   24.4         
00041        7:40:01 AM  5/19/2015   24.4         
00042        7:41:01 AM  5/19/2015   24.4         
00043        7:42:01 AM  5/19/2015   24.4         
00044        7:43:01 AM  5/19/2015   24.4         
00045        7:44:01 AM  5/19/2015   24.4         
00046        7:45:01 AM  5/19/2015   24.4         
00047        7:46:01 AM  5/19/2015   24.4         
00048        7:47:01 AM  5/19/2015   24.4         
00049        7:48:01 AM  5/19/2015   24.4         
00050        7:49:01 AM  5/19/2015   24.4         
00051        7:50:01 AM  5/19/2015   24.4         
00052        7:51:01 AM  5/19/2015   24.4         
00053        7:52:01 AM  5/19/2015   24.4         
00054        7:53:01 AM  5/19/2015   24.4         
00055        7:54:01 AM  5/19/2015   24.4         
00056        7:55:01 AM  5/19/2015   24.4         
00057        7:56:01 AM  5/19/2015   24.4         
00058        7:57:01 AM  5/19/2015   24.4         
00059        7:58:01 AM  5/19/2015   24.4         
00060        7:59:01 AM  5/19/2015   24.4         
00061        8:00:01 AM  5/19/2015   24.4         
00062        8:01:01 AM  5/19/2015   24.4         
00063        8:02:01 AM  5/19/2015   24.4         
00064        8:03:01 AM  5/19/2015   24.4         
00065        8:04:01 AM  5/19/2015   24.4         
00066        8:05:01 AM  5/19/2015   24.4         
00067        8:06:01 AM  5/19/2015   24.4         
00068        8:07:01 AM  5/19/2015   24.4         
00069        8:08:01 AM  5/19/2015   24.4         
00070        8:09:01 AM  5/19/2015   24.4         
00071        8:10:01 AM  5/19/2015   24.4         
00072        8:11:01 AM  5/19/2015   24.4         
00073        8:12:01 AM  5/19/2015   24.4         
00074        8:13:01 AM  5/19/2015   24.4         
00075        8:14:01 AM  5/19/2015   24.4         
00076        8:15:01 AM  5/19/2015   24.4         
00077        8:16:01 AM  5/19/2015   24.4         
00078        8:17:01 AM  5/19/2015   24.4         
00079        8:18:01 AM  5/19/2015   24.4         
00080        8:19:01 AM  5/19/2015   24.4         
00081        8:20:01 AM  5/19/2015   24.4         
00082        8:21:01 AM  5/19/2015   24.4         
00083        8:22:01 AM  5/19/2015   24.4         
00084        8:23:01 AM  5/19/2015   24.4         
00085        8:24:01 AM  5/19/2015   24.4         
00086        8:25:01 AM  5/19/2015   24.4         
00087        8:26:01 AM  5/19/2015   24.4         
00088        8:27:01 AM  5/19/2015   24.4         
00089        8:28:01 AM  5/19/2015   24.4         
00090        8:29:01 AM  5/19/2015   24.4         
00091        8:30:01 AM  5/19/2015   24.4         
00092        8:31:01 AM  5/19/2015   24.4         
00093        8:32:01 AM  5/19/2015   24.4         
00094        8:33:01 AM  5/19/2015   24.4         
00095        8:34:01 AM  5/19/2015   24.4         
00096        8:35:01 AM  5/19/2015   24.4         
00097        8:36:01 AM  5/19/2015   24.4         
00098        8:37:01 AM  5/19/2015   24.4         
00099        8:38:01 AM  5/19/2015   24.4         
00100        8:39:01 AM  5/19/2015   24.4         
00101        8:40:01 AM  5/19/2015   24.4         
00102        8:41:01 AM  5/19/2015   24.4         
00103        8:42:01 AM  5/19/2015   24.4         
